station_id,station_name,year,month,year_month,temp_c,rain_mm,wind_speed_ms,humidity_pct,sunshine_hr,solar_radiation_mj_m2,visibility_10m
108,서울,2023,1,2023-01,-1.49,0.06,2.41,63.08,0.56,0.85,1604.34
108,서울,2023,2,2023-02,2.31,0.0,2.27,58.77,0.6,1.1,1630.46
108,서울,2023,3,2023-03,9.76,0.01,2.34,51.17,0.6,1.3,1592.43
108,서울,2023,4,2023-04,13.77,0.13,2.53,59.86,0.42,1.16,1620.9
108,서울,2023,5,2023-05,19.51,0.21,2.34,62.47,0.51,1.39,1747.4
108,서울,2023,6,2023-06,23.38,0.27,2.2,72.33,0.43,1.27,1692.62
108,서울,2023,7,2023-07,26.68,0.62,2.13,81.13,0.31,1.03,1594.14
108,서울,2023,8,2023-08,27.2,0.4,2.16,76.34,0.34,1.01,1823.21
108,서울,2023,9,2023-09,23.64,0.19,2.04,73.66,0.4,1.09,1816.3
108,서울,2023,10,2023-10,15.77,0.04,1.91,66.52,0.54,1.09,2319.5
108,서울,2023,11,2023-11,6.87,0.11,2.54,64.47,0.52,0.85,2594.88
108,서울,2023,12,2023-12,1.12,0.12,2.49,69.21,0.43,0.66,2145.62
108,서울,2024,1,2024-01,-0.47,0.03,2.33,66.49,0.52,0.82,2115.03
108,서울,2024,2,2024-02,3.83,0.11,2.56,72.77,0.32,0.76,1825.32
108,서울,2024,3,2024-03,6.91,0.04,2.69,57.14,0.51,1.17,2358.44
108,서울,2024,4,2024-04,16.3,0.05,2.38,56.19,0.49,1.3,1995.49
108,서울,2024,5,2024-05,18.47,0.17,2.43,63.21,0.56,1.48,2192.13
108,서울,2024,6,2024-06,24.57,0.16,2.25,60.43,0.63,1.59,2360.92
108,서울,2024,7,2024-07,26.56,0.75,2.56,81.12,0.21,0.87,2000.69
108,서울,2024,8,2024-08,29.32,0.1,2.07,72.66,0.39,1.1,2196.97
108,서울,2024,9,2024-09,25.47,0.2,2.3,71.79,0.43,1.12,3039.83
108,서울,2024,10,2024-10,16.67,0.1,2.04,69.61,0.43,0.96,2685.18
108,서울,2024,11,2024-11,9.74,0.08,2.0,62.23,0.56,0.9,2468.78
108,서울,2024,12,2024-12,0.89,0.01,2.16,56.14,0.6,0.85,2669.07
108,서울,2025,1,2025-01,-0.42,0.03,2.29,60.77,0.49,0.8,2188.68
108,서울,2025,2,2025-02,-1.17,0.01,2.6,55.62,0.67,1.22,2615.45
108,서울,2025,3,2025-03,7.97,0.05,2.76,56.26,0.55,1.24,1975.69
108,서울,2025,4,2025-04,13.36,0.13,2.53,60.55,0.55,1.36,1956.84
108,서울,2025,5,2025-05,17.75,0.17,2.37,66.72,0.44,1.24,1899.89
108,서울,2025,6,2025-06,24.0,0.14,2.31,68.29,0.42,1.26,2064.12
108,서울,2025,7,2025-07,28.74,0.4,2.29,71.81,0.38,1.16,2454.67
108,서울,2025,8,2025-08,28.23,0.39,2.26,75.55,0.33,1.05,2479.11
108,서울,2025,9,2025-09,23.47,0.51,2.0,75.31,0.35,1.03,2791.43
108,서울,2025,10,2025-10,16.48,0.25,2.26,75.63,0.3,0.78,2749.5
108,서울,2025,11,2025-11,8.95,0.03,2.07,60.98,0.6,0.95,2161.84
108,서울,2025,12,2025-12,1.3,0.06,2.35,61.48,0.51,0.72,2336.83
108,서울,2026,1,2026-01,-3.6,0.01,2.48,51.95,0.65,0.97,2570.42
108,서울,2026,2,2026-02,2.69,0.0,2.26,54.43,0.58,1.09,2240.16
108,서울,2026,3,2026-03,8.09,0.06,2.39,55.13,0.57,1.27,1915.17
108,서울,2026,4,2026-04,14.97,0.04,2.39,51.34,0.58,1.42,1967.92
108,서울,2026,5,2026-05,18.4,0.21,2.41,58.44,0.54,1.44,2379.86
